,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
101,SS Ohio,,26 September 1894,,Great Lakes,Lake Huron,,,,A wooden freighter that sank in a collision with the schooner Ironton.,
102,Philo Scoville,,October 1889,,Great Lakes,Lake Huron,,,,"Wrecked during a storm and is in 100 feet at north east end of Bonnet Island near Tobermory, Ontario.",
103,SS Regina,,10 November 1913,,Great Lakes,Lake Huron,,,,Lost on Lake Huron during the Great Lakes Storm of 1913.,
104,Sweepstakes,,September 1885,,Great Lakes,Lake Huron,,, 45.25500; -81.68056﻿ ,"A schooner that was damaged off Cove Island in August, then sank a month later in Big Tub Harbour, near Tobermory.",
105,True North II,,16 June 2000,,Great Lakes,Lake Huron,,,,"A glass-bottomed tour boat that sank in Georgian Bay, killing two students.",
106,Typo,,14 October 1899,,Great Lakes,Lake Huron,,, 45.41528; -83.56417,The wooden three-masted schooner was run down by the steamer W.P. Ketcham. The ship sank immediately and the four crew on board drowned.,
107,PS Waubuno,,22 November 1879,,Great Lakes,Lake Huron,,, 45.12083; -80.16611﻿ ,A side-wheel paddle steamer lost in a storm in Georgian Bay.,
108,W.L. Wetmore,,November 1901,,Great Lakes,Lake Huron,,,,"Wrecked in a storm at the west end of Bonnet Island in about 30 feet of water, near Tobermory, Ontario.",
109,Water Wich,,11 November 1863,,Great Lakes,Lake Huron,,,,A passenger steamer that sank in Saginaw bay after encountering a gale.,
110,SS Wexford,,9 November 1913,,Great Lakes,Lake Huron,,,,Lost on Lake Huron during the Great Lakes Storm of 1913.,
111,Minnedosa,,20 October 1905,,Great Lakes,Lake Huron,,,,"Sank while in tow, near Harbor Beach, Michigan; 9 crew and passengers lost.",
112,SS Alpena,,15 October 1880,,Great Lakes,Lake Michigan,,,,A sidewheel steamer that capsized in a storm.,
113,Alvin Clark,,19 June 1864,,Great Lakes,Lake Michigan,,, 45.104167; -87.620278﻿ ,"A schooner that sank off the shore of Chambers Island. It was raised in 1969 and taken to Menominee, where it became a tourist attraction. However, it quickly deteriorated, and was demolished in 1994 to make way for a parking lot.",
114,America,,28 September 1880,,Great Lakes,Lake Michigan,,,,A wooden schooner that struck another vessel's scow line.,
115,SS Anna C. Minch,,11 November 1940,,Great Lakes,Lake Michigan,,, 43.787; -86.531﻿ ,A cargo carrier that broke in two and sank during the Armistice Day Blizzard.,
116,SS Appomattox,,2 November 1905,,Great Lakes,Lake Michigan,,, 43.0936361; -87.8662083﻿ ,A bulk cargo steamship that ran aground in fog.,
117,SS Australasia,,18 November 1896,,Great Lakes,Lake Michigan,,, 44.92000; -87.18550﻿ ,A wooden steamship that sank after burning to a total loss.,
118,SS Carl D. Bradley,,18 November 1958,,Great Lakes,Lake Michigan,,,,"A self-unloading Great Lakes freighter caught in a vicious storm on Lake Michigan. Split in two and sank with all except two survivors. Their company did not believe that the ship split in two. Since this was the first time there were any witnesses to see this happen. The weakened hull was due to, too much sulphur in the metal causing it to become brittle in cold weather.",
119,SS Chicora,,21 January 1895,,Great Lakes,Lake Michigan,,,,A steamer that went missing in Lake Michigan,
120,Christina Nilsson,,23 October 1884,,Great Lakes,Lake Michigan,,,,A schooner that sank in a blizzard off Baileys Harbor.,
121,City of Muskegon,,28 October 1919,,Great Lakes,Lake Michigan,,,,"A paddlewheel steamer that struck a pier in a gale at Muskegon, Michigan, sinking in four minutes.",
122,Continental,,1904,,Great Lakes,Lake Michigan,,,,A bulk carrier that sank off the coast of Two Rivers.,
123,Daniel Lyons,,17 October 1878,,Great Lakes,Lake Michigan,,,,A schooner that collided with the Kate Gillett off Algoma.,
124,Dreadnaught,,September 1886,,Great Lakes,Lake Michigan,,,,"Schooner which was sunk after collision with the tug ""Cheney"" off Pt, Au Gres, Saginaw Bay.",
125,SS Eber Ward,,20 April 1909,,Great Lakes,Lake Michigan,,,,A cargo ship that foundered in heavy ice west of Mackinaw City.,
126,Erie L. Hackley,,3 October 1903,,Great Lakes,Lake Michigan,,, 45.06183; -87.45617﻿ ,"A cargo liner that sank in a storm near Green Island, Wisconsin.",
127,SS Eastland,,24 July 1915,,Great Lakes,Lake Michigan,,,,"Rolled over in the Chicago River in Chicago, Illinois. A total of 848 passengers and crew were killed––the largest loss of life in a single shipwreck on the Great Lakes.",
128,Fleetwing,,26 September 1888,,Great Lakes,Lake Michigan,,,,A schooner that ran aground off the coast of Liberty Grove.,
129,SS Francisco Morazan,,29 November 1960,,Great Lakes,Lake Michigan,,,,Grounded and became a total loss in 1960 off the south shore of South Manitou Island. She ran over the wreck of the bulk freighter SS Walter L Frost.,
130,Frank O'Connor,,3 October 1919,,Great Lakes,Lake Michigan,,, 45.11444; -87.01222﻿ ,A bulk carrier that caught fire and sank off the coast of North Bay.,
131,Gallinipper,,1851,,Great Lakes,Lake Michigan,,,,A schooner that sank in a gale off the coast of Centerville.,
132,General Winfield Scott,,7 August 1871,,Great Lakes,Lake Michigan,,,,A schooner that ran aground between Hog and Washington islands in Wisconsin.,
133,George W. Morley,,5 December 1897,,Great Lakes,Lake Michigan,,, 42.044000; -87.668167﻿ ,"A wooden Great Lakes bulk freighter that caught fire off the shore of Evanston, Illinois.",
134,Grape Shot,,November 1867,,Great Lakes,Lake Michigan,,,,A schooner that was run aground by a gale off the coast of Plum Island.,
135,Green Bay,,,,Great Lakes,Lake Michigan,,,,"An unidentified sloop off the coast of Sevastopol, believed to date from 1840 to 1860.",
136,Grace Channon,,1877,,Great Lakes,Lake Michigan,,,,"A three-masted wooden schooner that collided with the propeller tug Favourite 12 miles south of Milwaukee, Wisconsin.",
137,Hanover,,November 1867,,Great Lakes,Lake Michigan,,,,A schooner that struck a shoal near the Strawberry Islands.,
138,Hennepin,,18 August 1927,,Great Lakes,Lake Michigan,,,,The first self-unloading bulk carrier; sprang a leak off the east coast of Lake Michigan.,
139,SS Henry Cort,,30 November 1934,,Great Lakes,Lake Michigan,,,,"A whaleback freighter that ran aground at Muskegon, Michigan.",
140,Home,,1858,,Great Lakes,Lake Michigan,,,,A schooner that collided with the William Fiske off the coast of Centerville.,
141,Iris,,1913,,Great Lakes,Lake Michigan,,,,A schooner that ran aground off the coast of Washington Island.,
142,Joys,,23 December 1898,,Great Lakes,Lake Michigan,,,,A steamboat that caught fire at anchor in the Sturgeon Bay Ship Canal.,
143,Lady Elgin,,8 September 1860,,Great Lakes,Lake Michigan,,, 42.18333; -87.65000﻿ ,A steamship wrecked in Lake Michigan near Chicago following a collision with the schooner Augusta.  The greatest loss of life on open water in the Great Lakes.,
144,SS Lakeland,,3 December 1924,,Great Lakes,Lake Michigan,,, 44.78900; -87.18867﻿ ,A steel freighter that sank after she sprang a leak.,
145,Louisiana,,8 November 1913,,Great Lakes,Lake Michigan,,,,A steamboat that caught fire in a snowstorm off Washington.,
146,L.R. Doty,,25 October 1898,,Great Lakes,Lake Michigan,,,,A steamship lost in a violent storm while towing the Olive Jeanette.,
147,Lumberman,,6 April 1893,,Great Lakes,Lake Michigan,,,,A schooner that sank in a storm off the coast of Oak Creek.,
148,Meridian,,October 1873,,Great Lakes,Lake Michigan,,,,A schooner that sank off the coast off Sister Bay.,
149,SS Milwaukee,,22 October 1929,,Great Lakes,Lake Michigan,,,,Train ferry that sank in a storm off Milwaukee with the loss of all hands.  Today she lies about four miles northeast of the North Point Lighthouse.,
150,Mount Vernon,,10 April 1869,,Great Lakes,Lake Michigan,,,,"Ran aground in weather off Kewaunee, Wisconsin",
151,Niagara,,23 September 1856,,Great Lakes,Lake Michigan,,,,"A palace steamer that caught fire and sank off Belgium, Wisconsin.",
152,Northerner,,29 November 1868,,Great Lakes,Lake Michigan,,,,A schooner that capsized off Port Washington.,
153,Ocean Wave,,23 September 1869,,Great Lakes,Lake Michigan,,,,A scow schooner that sank in a storm off the coast of Door County.,
154,SS Pere Marquette 18,,9 September 1910,,Great Lakes,Lake Michigan,,,,"A steel-hulled car ferry that mysteriously flooded, and sank on Lake Michigan.",
155,Phoenix,,21 November 1847,,Great Lakes,Lake Michigan,,,,"Wooden steamship that caught fire from over-stoked boilers and burned to the waterline off the coast of Sheboygan, WI, killing at least 190 but perhaps more than 250 of the nearly 300 souls on board.  39 people survived in lifeboats and three were rescued from the water.",
156,R. J. Hackett,,12 November 1905,,Great Lakes,Lake Michigan,,, 45.35778; -87.18194﻿ ,"The first Great Lakes freighter; caught fire, ran aground and sank in Green Bay.",
157,Robert C. Pringle,,19 June 1922,,Great Lakes,Lake Michigan,,, 43.69167; -87.55500﻿ ,"A wooden tugboat that sank off the coast of Sheboygan, Wisconsin after striking an obstruction.",
158,Rosinco,,19 September 1928,,Great Lakes,Lake Michigan,,,,A luxury yacht that sank off the coast of Kenosha.,
159,Rouse Simmons,,23 November 1912,,Great Lakes,Lake Michigan,,,,Sunk in a storm on Lake Michigan with its cargo of Christmas trees.,
160,Silver Spray,,15 July 1914,,Great Lakes,Lake Michigan,,, 41.8082; -87.5837﻿ ,A passenger steamer that ran aground against the Morgan Shoal off the coast of Chicago.,
161,Success,,26 November 1896,,Great Lakes,Lake Michigan,,,,"Pushed ashore by a gale during a storm off the coast of Sevastopol, Wisconsin.",
162,Tennie and Laura,,2 August 1903,,Great Lakes,Lake Michigan,,,,A scow schooner that sank off Port Washington.,
163,Thomas Hume,,21 May 1891,,Great Lakes,Lake Michigan,,,,A schooner that disappeared on Lake Michigan.,
164,Three Brothers,,27 September 1911,,Great Lakes,Lake Michigan,,,,A lumber freighter that took on water and was driven aground on South Manitou Island.,
165,S.B. Toledo,,22 October 1856,,Great Lakes,Lake Michigan,,,,"79 of 81 passengers and crew were lost when she sank near Port Washington, Wisconsin in 10 to 35 feet of water. Also carried freight. Wood hull, propeller/direct acting steam engine built by B.B. Jones Co, Buffalo, New York 1854.",
166,Sydney C. McLouth,,27 June 1912,,Great Lakes,Lake Michigan,,, 44.833417; -87.8147667﻿ ,"A wooden package freighter that burned and sank off Pensaukee, Wisconsin.",
167,SM UC-97,,7 June 1921,,Great Lakes,Lake Michigan,,,,"A German Type UC III submarine sunk as a target off the coast of Highland Park, Illinois.",
168,SS Selah Chamberlain,,13 October 1886,,Great Lakes,Lake Michigan,,, 43.769933; -87.656683﻿ ,Sank two miles northeast of Sheboygan.,
169,SS Walter L. Frost,,4 November 1903,,Great Lakes,Lake Michigan,,,,Stranded off South Manitou Island. Her carcass was struck by and caused the sinking of the SS Francisco Morazan in 1960.,
170,W. C. Kimball,,May 1891,,Great Lakes,Lake Michigan,,,,"65-ft wooden schooner sunk off South Manitou Island, wreck in excellent condition",
171,Westmoreland,,1854,,Great Lakes,Lake Michigan,,,,"Wreck was discovered in 2010 in Platte Bay, near Traverse City, Michigan",
172,SS William B. Davock,,11 November 1940,,Great Lakes,Lake Michigan,,,,Sank near Pentwater in the Armistice Day Blizzard.,
173,SS W.H. Gilcher,,28 October 1892,,Great Lakes,Lake Michigan,,,,The Gilcher was a steel-hulled freighter that went missing on Lake Michigan on 28 October 1892.,
174,SS Wisconsin,,October 1929,,Great Lakes,Lake Michigan,,,,A steamboat that sank off the coast of Kenosha.,
175,17 Fathom wreck,,,,Great Lakes,Lake Erie,,, 42.650; -80.050﻿ ,"Lying on a silt bottom at 105 feet
http://www.eriewrecks.com/shipwrecks/17fathom/17fathom.html",
176,Admiral,,2 Dec 1942,,Great Lakes,Lake Erie,,, 41.633; -81.900﻿ ,"Towing barge CLEVECO (qv), she encountered a heavy gale and began to founder. She radioed in, but C.G. was unable to locate her in the murk before she went down with a loss of 14 people. Owned by Cleveland Tankers, Cleveland.
Wreck located by a commercial diver in 1969.",
177,Adventure,,7 October 1903,,Great Lakes,Lake Erie,,, 41.633; -82.683﻿ ,The sand dredge sank off Kelley's Island following a fire.,
178,SS Algeria,,1906,,Great Lakes,Lake Erie,,, 41.517; -81.700﻿ ,,
179,Alva B.,,1 November 1917,,Great Lakes,Lake Erie,,, 41.500; -82.017﻿ ,The tug ran aground off Avon Point in a storm.,
180,America,,5 April 1854,,Great Lakes,Lake Erie,,, 41.817; -82.633﻿ ,The sidewheel steamer ran aground on Pelee Island.,
181,Angler,,1893,,Great Lakes,Lake Erie,,,,A tug that caught fire and sank in Long Point.,
182,PS Anthony Wayne,,28 April 1850,,Great Lakes,Lake Erie,,, 41.51667; -82.38333﻿ ,A wooden-hulled paddle steamer that sank after her boilers exploded. She is the oldest steamboat wreck on the Great Lakes.,
183,Atlantic,,20 August 1852,,Great Lakes,Lake Erie,,, 42.500; -80.083﻿ ,Paddlewheel steamer rammed and sunk off Long Point in the fifth-worst single-vessel disaster to ever occur on the Great Lakes.,
184,Arches,,11 November 1852,,Great Lakes,Lake Erie,,, 42.450; -80.017﻿ ,"Also known as Oneida, the package freighter sank in a storm off Long Point.",
185,Argo,,20 October 1937,,Great Lakes,Lake Erie,,,,"The tank barge sank off Pelee Island with cargo of oil, considered one of the greatest pollution risks on the Lakes",
186,Armenia,,8 May 1906,,Great Lakes,Lake Erie,,,,,
187,Aycliffe Hall,,1936,,Great Lakes,Lake Erie,,,,Sank off Long Point.,
188,Bay Coal Schooner,,mid 1800s,,Great Lakes,Lake Erie,,, 41.550; -81.933﻿ ,"The schooner suddenly sank off Bay Village, Ohio. Wreck believed to be the Industry, which sank in 1874.",
189,Black Duck,,1872,,Great Lakes,Lake Erie,,,,A 51-foot single mast scow sloop that sank in the East end of Lake Erie in August 1872.,
190,Bow Cabin,,,,Great Lakes,Lake Erie,,, 41.933; -82.233﻿ ,,
191,British Lion,,1877,,Great Lakes,Lake Erie,,,,Ran aground off Long Point. The same storm claimed the Mediera and Elize A. Turner.,
192,Brown Brothers,,1959,,Great Lakes,Lake Erie,,, 42.617; -80.000﻿ ,Sank off Long Point.,
193,Brunswick,,12 November 1881,,Great Lakes,Lake Erie,,, 42.583; -79.400﻿ ,The steamer sank following a collision with the schooner Carlingford,
194,Canobie,,1921,,Great Lakes,Lake Erie,,, 42.167; -80.000﻿ ,The steamer which was in poor condition burned outside of Erie,
195,Carlingford,,12 November 1881,,Great Lakes,Lake Erie,,, 42.650; -79.467﻿ ,The schooner sank following a collision with the steamer Brunswick,
196,Cascade,,24 January 1904,,Great Lakes,Lake Erie,,, 41.467; -82.183﻿ ,The tug sank after encountering ice.,
197,Case,,,,Great Lakes,Lake Erie,,,,,
198,C.B. Benson,,14 October 1893,,Great Lakes,Lake Erie,,, 42.767; -79.233﻿ ,Sink in a massive gale on her way to Detroit,
199,C.B. Lockwood,,13 October 1902,,Great Lakes,Lake Erie,,, 41.933; -81.383﻿ ,Discovered to have sunk below Lake Erie's bottom,
200,Cecil J.,,27 May 1944,,Great Lakes,Lake Erie,,, 42.750; -80.217﻿ ,The tugboat was scuttled after it caught fire.,
201,Charger,,31 July 1890,,Great Lakes,Lake Erie,,,,The schooner sank following a collision.,
202,Charles B. Packard,,16 September 1906,,Great Lakes,Lake Erie,,,,Sank after striking the wreck of the schooner barge Armenia,
203,Charles H. Davis,,13 June 1903,,Great Lakes,Lake Erie,,, 41.500; -81.717﻿ ,The wooden steamer sank after springing a leak near Cleveland,
204,Charles Foster,,,,Great Lakes,Lake Erie,,, 42.167; -80.250﻿ ,The bulk barge sank in a gale near Erie on an unknown date,
205,City of Concord,,29 September 1906,,Great Lakes,Lake Erie,,,,"The steamer sank north of Huron, Ohio in a storm.",
206,City of Dresden,,1922,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
207,Clarion,,8 December 1909,,Great Lakes,Lake Erie,,,,The passenger ship ran aground in a heavy gale and burned on the south east shoul of Lake Erie,
208,Cleveco,,3 Dec 1942,,Great Lakes,Lake Erie,,, 41.783; -81.600﻿ ,"While being towed by the tug Admiral she encountered a heavy gale & began to founder. The barge eventually broke away from Admiral and founderd  Owned by Cleveland Tankers, Cleveland.",
209,Colonel Cook,,,,Great Lakes,Lake Erie,,,,,
210,Colonial,,1914,,Great Lakes,Lake Erie,,,,The wooden steamer stranded and broke up,
211,Conemaugh,,11 November 1906,,Great Lakes,Lake Erie,,,,The passenger ship ran aground in a gale off Pt Pele,
212,Craftsman,,,,Great Lakes,Lake Erie,,, 41.517; -82.000﻿ ,,
213,Crete,,,,Great Lakes,Lake Erie,,, 42.167; -80.000﻿ ,,
214,David Stewart,,,,Great Lakes,Lake Erie,,,,,
215,David Vance,,,,Great Lakes,Lake Erie,,,,,
216,Dean Richmond,,,,Great Lakes,Lake Erie,,, 42.283; -79.917﻿ ,,
217,Dundee,,,,Great Lakes,Lake Erie,,, 41.683; -81.833﻿ ,,
218,Dunkirk Schooner Site,,,,Great Lakes,Lake Erie,,, 42.55000; -79.60000﻿ ,"An early unidentified schooner lying off Dunkirk, New York",
219,Duke Luedtke,,,,Great Lakes,Lake Erie,,, 41.683; -81.950﻿ ,,
220,Eldorado,,,,Great Lakes,Lake Erie,,, 42.167; -80.000﻿ ,,
221,Edmond Fitzgerald,,1883,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
222,Elize A. Turner,,1877,,Great Lakes,Lake Erie,,,,Ran aground off Long Point. The same storm claimed the British Lion and Madiera.,
223,Elphicke,,1913,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
224,Empire,,1870,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
225,Erieau Quarry Stone,,,,Great Lakes,Lake Erie,,, 42.250; -81.900﻿ ,,
226,F.A. Meyer,,,,Great Lakes,Lake Erie,,, 41.917; -82.033﻿ ,,
227,Fannie L. Jones,,,,Great Lakes,Lake Erie,,, 41.500; -81.717﻿ ,,
228,Frank E. Vigor,,,,Great Lakes,Lake Erie,,, 41.950; -81.950﻿ ,,
229,George Dunbar,,,,Great Lakes,Lake Erie,,, 41.667; -82.550﻿ ,,
230,George Stone,,,,Great Lakes,Lake Erie,,,,,
231,George Worthington,,,,Great Lakes,Lake Erie,,,,,
232,SS G. P. Griffith,,18 June 1850,,Great Lakes,Lake Erie,,,,Between 241 and 289 lives lost when the ship caught fire.  Third-greatest loss of life in any Great Lakes shipping disaster.,
233,Grand Traverse,,,,Great Lakes,Lake Erie,,,,,
234,H.A. Barr,,,,Great Lakes,Lake Erie,,, 42.150; -81.383﻿ ,,
235,Henry Roop,,12 October 1843,,Great Lakes,Lake Erie,,,,A schooner lost in a storm.,
236,H.G. Cleveland,,August 1899,,Great Lakes,Lake Erie,,,,"A three-mast schooner carrying stone that sprung a leak and sunk four miles off of Lorain. Rescued by the City of Detroit and the tugboat Thomas Matham, everyone survived.",
237,Hickory Stick,,,,Great Lakes,Lake Erie,,, 41.533; -82.100﻿ ,,
238,Idaho,,1897,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
239,Indiana,,,,Great Lakes,Lake Erie,,, 42.283; -79.983﻿ ,,
240,Isabella J. Boyce,,June 1917,,Great Lakes,Lake Erie,,,,"A sandsucker which grounded on Middle Bass Island in Lake Erie, caught fire, and sunk in 10 feet (3.0 m) of water. There were no deaths.",
241,Ivanhoe,,,,Great Lakes,Lake Erie,,, 41.550; -82.033﻿ ,,
242,James B. Colgate,,20 October 1916,,Great Lakes,Lake Erie,,, 42.083; -81.733﻿ ,"A whaleback steamer that sank off Long Point, in a storm that also took the SS Merida. Wreckage was located in 1991.",
243,James J. Reed,,1944,,Great Lakes,Lake Erie,,,,Sank off Long Point.,
244,Jay Gould,,,,Great Lakes,Lake Erie,,, 41.850; -82.400﻿ ,,
245,Jennie P. King,,1866,,Great Lakes,Lake Erie,,,,Foundered off Long Point.,
246,Jersey City,,1860,,Great Lakes,Lake Erie,,,,Foundered off Long Point.,
247,J.G. McGrath,,,,Great Lakes,Lake Erie,,, 42.667; -79.383﻿ ,,
248,J.J. Boland Jr.,,,,Great Lakes,Lake Erie,,, 42.367; -79.717﻿ ,,
249,John B. Griffin,,,,Great Lakes,Lake Erie,,,,,
250,John B. Lyon,,,,Great Lakes,Lake Erie,,,,,
251,John Pridgeon Jr.,,,,Great Lakes,Lake Erie,,, 41.583; -81.967﻿ ,,
252,Jorge B.,,,,Great Lakes,Lake Erie,,,,,
253,Joseph Paige,,14 October 1893,,Great Lakes,Lake Erie,,,,"Ran aground off Long Point, in a gale that also took the Wocoken.",
254,Lawrence,,1921,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
255,Lake Serpent,,1829,,Great Lakes,Lake Erie,,,,The schooner disappeared en route to Cleveland with a load of limestone. Both occupants fell overboard and drowned; their bodies washed ashore just west of Cleveland. The ship was discovered in 2016 and identified in 2019. She is the oldest confirmed shipwreck in Lake Erie.,
256,Little Wissahickon,,,,Great Lakes,Lake Erie,,, 41.900; -81.933﻿ ,,
257,Lycoming,,,,Great Lakes,Lake Erie,,, 42.250; -81.883﻿ ,,
258,Mabel Wilson,,,,Great Lakes,Lake Erie,,, 41.500; -81.717﻿ ,,
259,Madiera,,1877,,Great Lakes,Lake Erie,,,,Ran aground off Long Point. The same storm claimed the British Lion and Elize A. Turner.,
260,Magnet,,,,Great Lakes,Lake Erie,,,,,
261,Margaret Olwill,,28 June 1899,,Great Lakes,Lake Erie,,,,"Overloaded with limestone, the load shifted during an unexpected June gale and the ship was capsized by waves when the steering chains broke.  At least eight people perished. The wreck was discovered in 2017.",
262,Marquette & Bessemer No. 2,,8 December 1909,,Great Lakes,Lake Erie,,,,A car ferry that sank in a storm. Thirty-four to thirty-eight people perished.,
263,Marshall F. Butters,,,,Great Lakes,Lake Erie,,, 41.717; -82.283﻿ ,,
264,Mecosta,,,,Great Lakes,Lake Erie,,, 41.517; -81.883﻿ ,,
265,Merida,,16 October 1916,,Great Lakes,Lake Erie,,, 42.217; -81.333﻿ ,A Ward Line steamer that sank off Long Point in a storm that also took the James B. Colgate.,
266,Morania,,29 October 1951,,Great Lakes,Lake Erie,,,,Also includes Penobscot. Closest shipwreck to Buffalo River,
267,M.I. Wilcox,,,,Great Lakes,Lake Erie,,,,,
268,Morning Star,,,,Great Lakes,Lake Erie,,, 41.600; -82.200﻿ ,,
269,Mystic,,1907,,Great Lakes,Lake Erie,,,,Sank off Long Point.,
270,New Brunswick,,,,Great Lakes,Lake Erie,,,,,
271,Niagara,,1899,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
272,North Carolina,,,,Great Lakes,Lake Erie,,, 41.717; -81.367﻿ ,,
273,Northern Indiana,,17 July 1856,,Great Lakes,Lake Erie,,, 41.883; -82.500﻿ ,"Caught fire near Point au Pelee, Lake Erie, while en route from Buffalo to Monroe, Michigan. 56 lives lost.",
274,Oneida,,,,Great Lakes,Lake Erie,,, 42.217; -79.850﻿ ,,
275,Oxford,,,,Great Lakes,Lake Erie,,, 42.467; -79.850﻿ ,,
276,Paddy Murphy,,,,Great Lakes,Lake Erie,,,,,
277,Pascal P. Pratt,,1908,,Great Lakes,Lake Erie,,, 42.550; -80.083﻿ ,Ran aground off Long Point.,
278,Passaic,,,,Great Lakes,Lake Erie,,, 42.467; -79.450﻿ ,,
279,Penelope,,,,Great Lakes,Lake Erie,,, 41.517; -82.033﻿ ,,
280,Philip D. Armour,,,,Great Lakes,Lake Erie,,, 42.117; -80.167﻿ ,,
281,Philip Minch,,,,Great Lakes,Lake Erie,,, 41.683; -82.500﻿ ,,
282,Pocahontas,,1862,,Great Lakes,Lake Erie,,,,Foundered off Long Point.,
283,Queen of the West,,,,Great Lakes,Lake Erie,,, 41.833; -82.383﻿ ,,
284,Raleigh,,29 November 1911,,Great Lakes,Lake Erie,,,,"During a storm, the rudder broke and she ran aground about 1 mile off Wildwood Road, Sherkston, Ontario in 30 feet of water.",
285,Rebecca Foster,,1857,,Great Lakes,Lake Erie,,,,Foundered off Long Point.,
286,Robert,,,,Great Lakes,Lake Erie,,, 42.25; -81.81﻿ ,,
287,S.F. Gale,,28 November 1876,,Great Lakes,Lake Erie,,, 41.733; -81.867﻿ ,,
288,S.K. Martin,,,,Great Lakes,Lake Erie,,, 42.233; -79.933﻿ ,,
289,St. James,,October 1870,,Great Lakes,Lake Erie,,, 42.450; -80.117﻿ ,Sank of unknown cause off Long Point in Lake Erie; discovered 1984.,
290,Sand Merchant,,,,Great Lakes,Lake Erie,,, 41.567; -82.950﻿ ,,
291,Sarah E. Sheldon,,,,Great Lakes,Lake Erie,,, 41.483; -82.100﻿ ,,
292,Siberia,,1883,,Great Lakes,Lake Erie,,,,A schooner that ran aground off Long Point.,
293,Siberia,,1905,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
294,Smith,,25 October 1930,,Great Lakes,Lake Erie,,,,"A tugboat that sank under tow off Long Point, Lake Erie.",
295,Specular,,,,Great Lakes,Lake Erie,,,,,
296,Success,,,,Great Lakes,Lake Erie,,, 41.517; -82.900﻿ ,,
297,Sultan,,24 September 1864,,Great Lakes,Lake Erie,,, 41.600; -81.617﻿ ,Lost in a storm off of Cleveland,
298,T-8,,,,Great Lakes,Lake Erie,,, 42.583; -80.017﻿ ,,
299,Tasmania,,,,Great Lakes,Lake Erie,,, 41.783; -82.483﻿ ,,
300,Tire Reef,,,,Great Lakes,Lake Erie,,, 42.683; -80.133﻿ ,,
301,Trade Wind,,,,Great Lakes,Lake Erie,,, 42.417; -80.200﻿ ,A schooner that collided with the Sir Charles Napier off Long Point.,
302,Tug Smith,,,,Great Lakes,Lake Erie,,, 42.467; -79.983﻿ ,,
303,Two Fannies,,10 August 1890,,Great Lakes,Lake Erie,,, 41.550; -81.917﻿ ,Sank after it developed a leak in heavy seas.,
304,Unknown,,,,Great Lakes,Lake Erie,,, 42.133; -81.617,,
305,Valentine,,,,Great Lakes,Lake Erie,,, 41.917; -81.900﻿ ,,
306,Washington Irving,,,,Great Lakes,Lake Erie,,, 42.533; -79.450﻿ ,,
307,Wild Rover,,2 November 1874,,Great Lakes,Lake Erie,,,,Foundered off Long Point.,
308,William H. Vanderbilt,,1883,,Great Lakes,Lake Erie,,,,Ran aground off Long Point.,
309,Willis,,,,Great Lakes,Lake Erie,,,,,
310,Wilma,,,,Great Lakes,Lake Erie,,, 42.700; -80.033﻿ ,,
311,Wocoken,,14 October 1893,,Great Lakes,Lake Erie,,,,Ran aground off Long Point in a gale that also took the Joseph Paige.,
312,Young Phoenix,,1818,,Great Lakes,Lake Erie,,,,"Sank off Long Point, Lake Erie.",
313,Schooner Milan,,,,Great Lakes,Lake Ontario,,,,"Directly in front of Oak Orchard, NY in deep water",
314,James H. Shrigley Coal Barge,,,,Great Lakes,Lake Ontario,,,,On Wautoma Shoals in shallow water,
315,Undine,,,,Great Lakes,Lake Ontario,,,,Northeast of Wautoma Shoals in 40' of water,
316,Laura Grace Steamer,,,,Great Lakes,Lake Ontario,,,,"Directly in front of Long Pond Outlet in Greece, NY",
317,Unidentified Wreck,,,,Great Lakes,Lake Ontario,,,,Northeast of Rochester Harbor Breakwalls in 40' of water,
318,Twin Unidentified Wrecks,,,,Great Lakes,Lake Ontario,,,,East of the eastern break wall entering Rochester harbor in shallow water,
319,Henry Roney,,,,Great Lakes,Lake Ontario,,,,"Directly in front of Webster, NY in 70' of water",
320,US Coast Guard Boat 56022,,"December 1, 1977",,Great Lakes,Lake Ontario,,,,Sunk during a violent storm on route from Oswego to Niagara. Between Ontario on the Lake and Pultneyville in front of the submerged pipeline in 32' of water,
321,Steamer Perseverance,,,,Great Lakes,Lake Ontario,,,,"Directly in front of Pultneyville, NY in deep water",
322,Saint Peter,,,,Great Lakes,Lake Ontario,,,,Northeast of the Pultneyville Outer Range rear light in 100' of water,
323,Orcadian,,,,Great Lakes,Lake Ontario,,,,Directly outside of Sodus Bay harbor on the western side of the harbor entrance in shallow water,
324,Etta Belle,,,,Great Lakes,Lake Ontario,,,,Directly outside of Sodus Bay harbor on the eastern side of the harbor entrance in shallow water,
